0	99900	100	0
1	99900	100	0
2	99827	173	0
3	99612	388	0
4	99085	915	0
5	97834	2166	0
6	94315	5685	0
7	88257	11743	0
8	79942	20058	0
9	70406	29594	0
10	61039	38961	0
11	52753	47247	0
12	45978	54022	0
13	40438	59562	0
14	35836	64164	0
15	32172	67828	0
16	29139	70861	0
17	26670	73330	0
18	24513	75487	0
19	22683	77317	0
20	21037	78963	0
21	19691	80309	0
22	18537	81463	0
23	17463	82437	100
24	16482	83345	173
25	15678	83934	388
26	14921	84164	915
27	14249	83585	2166
28	13693	80622	5685
29	13216	75041	11743
30	12760	67182	20058
31	12414	57992	29594
32	12140	48899	38961
33	11908	40845	47247
34	11725	34253	54022
35	11593	28845	59562
36	11485	24351	64164
37	11379	20793	67828
38	11303	17836	70861
39	11241	15429	73330
40	11186	13327	75487
41	11142	11541	77317
42	11110	9927	78963
43	11079	8612	80309
44	11049	7488	81463
45	11031	6432	82537
46	11005	5477	83518
47	10989	4689	84322
48	10968	3953	85079
49	10961	3288	85751
50	10956	2737	86307
51	10953	2263	86784
52	10946	1814	87240
53	10935	1479	87586
54	10926	1214	87860
55	10923	985	88092
56	10919	806	88275
57	10916	677	88407
58	10914	571	88515
59	11013	466	88521
60	11086	390	88524
61	11301	328	88371
62	11827	274	87899
63	13076	232	86692
64	16585	210	83205
65	22558	264	77178
66	30704	403	68893
67	39766	859	59375
68	47887	2079	50034
69	53300	4936	41764
70	55132	9858	35010
71	53652	16871	29477
72	50370	24750	24880
73	46158	32623	21219
74	41946	39861	18193
75	38063	46202	15735
76	34812	51601	13587
77	32107	56133	11760
78	29861	60021	10118
79	27857	63368	8775
80	26184	66193	7623
81	24772	68678	6550
82	23545	70886	5569
83	22437	72798	4765
84	21431	74560	4009
85	20535	76126	3339
86	19657	77550	2793
87	18874	78725	2401
88	18172	79714	2114
89	17467	80291	2242
90	16783	80003	3214
91	16177	77968	5855
92	15633	73752	10615
93	15154	67343	17503
94	14711	60010	25279
95	14425	52526	33049
96	14188	45594	40218
97	13982	39510	46508
98	13807	34332	51861
99	13678	29970	56352
100	13544	26244	60212
101	13453	23016	63531
102	13359	20313	66328
103	13282	17922	68796
104	13202	15820	70978
105	13143	13983	72874
106	13106	12278	74616
107	13060	10763	76177
108	13028	9366	77606
109	12989	8148	78863
110	12968	7018	80014
111	12956	5990	81054
112	12951	5046	82003
113	12934	4228	82838
114	12923	3516	83561
115	12908	2923	84169
116	12902	2380	84718
117	12895	1996	85109
118	12883	1695	85422
119	12877	1433	85690
120	12871	1210	85919
121	12871	1039	86090
122	12877	877	86246
123	12957	760	86283
124	13120	642	86238
125	13586	555	85859
126	14818	463	84719
127	17653	426	81921
128	22479	485	77036
129	29121	810	70069
130	36147	1631	62222
131	41878	3734	54388
132	45312	7517	47171
133	46178	12980	40842
134	44887	19665	35448
135	42193	26874	30933
136	39202	33742	27056
137	36222	40054	23724
138	33633	45462	20905
139	31490	50083	18427
140	29733	54036	16231
141	28024	57651	14325
142	26746	60685	12569
143	25504	63493	11003
144	24375	66052	9573
145	23405	68277	8318
146	22600	70234	7166
147	21773	72104	6123
148	21092	73729	5179
149	20355	75266	4379
150	19675	76556	3769
151	19008	77456	3536
152	18385	77772	3843
153	17749	76655	5596
154	17112	73794	9094
155	16553	69135	14312
156	16109	63110	20781
157	15688	56475	27837
158	15413	50033	34554
159	15167	44071	40762
160	14996	38950	46054
161	14854	34558	50588
162	14712	30841	54447
163	14573	27434	57993
164	14455	24569	60976
165	14364	21903	63733
166	14294	19447	66259
167	14223	17330	68447
168	14154	15464	70382
169	14101	13662	72237
170	14056	12082	73862
171	14021	10562	75417
172	13978	9213	76809
173	13934	7997	78069
174	13898	6867	79235
175	13877	5868	80255
176	13855	4952	81193
177	13841	4145	82014
178	13820	3499	82681
179	13808	2919	83273
180	13799	2491	83710
181	13789	2138	84073
182	13778	1860	84362
183	13771	1638	84591
184	13775	1400	84825
185	13803	1196	85001
186	13912	1028	85060
187	14279	895	84826
188	15120	805	84075
189	17231	726	82043
190	20871	800	78329
191	25802	1279	72919
192	31168	2553	66279
193	35739	5156	59105
194	38458	9262	52280
195	39450	14538	46012
196	38716	20644	40640
197	36965	26995	36040
198	34855	33036	32109
199	32923	38569	28508
200	31033	43472	25495
201	29519	47782	22699
202	28292	51559	20149
203	27005	55061	17934
204	25885	58127	15988
205	25118	60757	14125
206	24285	63219	12496
207	23531	65538	10931
208	22867	67601	9532
209	22235	69500	8265
210	21602	71290	7108
211	20991	72895	6114
212	20389	74276	5335
213	19750	75187	5063
214	19151	75127	5722
215	18564	73650	7786
216	17957	70534	11509
217	17391	66130	16479
218	16940	60726	22334
219	16530	54993	28477
220	16286	49410	34304
221	16058	44299	39643
222	15877	39725	44398
223	15709	35713	48578
224	15528	32211	52261
225	15390	28945	55665
226	15256	26093	58651
227	15158	23622	61220
228	15051	21316	63633
229	14948	19145	65907
230	14898	17182	67920
231	14867	15365	69768
232	14819	13650	71531
233	14772	12087	73141
234	14741	10600	74659
235	14696	9199	76105
236	14671	7979	77350
237	14644	6839	78517
238	14627	5821	79552
239	14608	4921	80471
240	14600	4200	81200
241	14590	3578	81832
242	14572	3114	82314
243	14558	2696	82746
244	14556	2349	83095
245	14556	2048	83396
246	14561	1772	83667
247	14582	1534	83884
248	14738	1318	83944
249	15243	1194	83563
250	16385	1219	82396
251	18612	1492	79896
252	21800	2360	75840
253	25404	4001	70595
254	28977	6486	64537
255	31660	10107	58233
256	32959	14818	52223
257	33235	20030	46735
258	32591	25552	41857
259	31575	30851	37574
260	30462	35724	33814
261	29516	40153	30331
262	28467	44260	27273
263	27365	47982	24653
264	26471	51320	22209
265	25629	54467	19904
266	24889	57268	17843
267	24153	59903	15944
268	23512	62339	14149
269	22818	64659	12523
270	22350	66664	10986
271	21847	68583	9570
272	21288	70224	8488
273	20782	71480	7738
274	20364	71970	7666
275	19880	71654	8466
276	19397	70306	10297
277	18907	67746	13347
278	18379	63990	17631
279	18011	59523	22466
280	17608	54708	27684
281	17320	49968	32712
282	17072	45601	37327
283	16885	41576	41539
284	16714	37846	45440
285	16547	34440	49013
286	16419	31368	52213
287	16298	28476	55226
288	16179	25892	57929
289	16059	23459	60482
290	15990	21172	62838
291	15911	18994	65095
292	15846	17104	67050
293	15773	15273	68954
294	15723	13544	70733
295	15675	11946	72379
296	15623	10562	73815
297	15584	9217	75199
298	15550	8047	76403
299	15528	6957	77515
300	15515	5978	78507
301	15496	5211	79293
302	15476	4481	80043
303	15458	3910	80632
304	15437	3407	81156
305	15435	2984	81581
306	15428	2604	81968
307	15455	2286	82259
308	15616	2022	82362
309	15993	1797	82210
310	16738	1801	81461
311	18063	1997	79940
312	19867	2609	77524
313	22217	3801	73982
314	24993	5671	69336
315	27356	8447	64197
316	29186	12089	58725
317	30175	16351	53474
318	30186	21161	48653
319	29830	25907	44263
320	29405	30405	40190
321	28695	34815	36490
322	27931	38904	33165
323	27270	42693	30037
324	26544	46200	27256
325	25857	49504	24639
326	25271	52505	22224
327	24768	55326	19906
328	24103	57989	17908
329	23593	60445	15962
330	23127	62713	14160
331	22684	64789	12527
332	22180	66528	11292
333	21686	68031	10283
334	21158	69015	9827
335	20703	69260	10037
336	20265	68718	11017
337	19744	67135	13121
338	19333	64561	16106
339	18909	61234	19857
340	18550	57237	24213
341	18248	53158	28594
342	17959	49292	32749
343	17706	45429	36865
344	17493	41806	40701
345	17312	38434	44254
346	17121	35315	47564
347	17011	32305	50684
348	16878	29565	53557
349	16771	26991	56238
350	16686	24521	58793
351	16596	22270	61134
352	16528	20143	63329
353	16478	18152	65370
354	16414	16328	67258
355	16349	14554	69097
356	16274	12931	70795
357	16202	11458	72340
358	16155	10088	73757
359	16123	8832	75045
360	16095	7719	76186
361	16067	6752	77181
362	16043	5914	78043
363	16014	5218	78768
364	15988	4575	79437
365	15992	4000	80008
366	16000	3515	80485
367	16015	3094	80891
368	16213	2709	81078
369	16537	2471	80992
370	17071	2416	80513
371	17972	2600	79428
372	19153	3204	77643
373	20835	4208	74957
374	22831	5786	71383
375	24768	8061	67171
376	26457	11118	62425
377	27495	14761	57744
378	27970	18709	53321
379	28171	22846	48983
380	28072	26987	44941
381	27673	31143	41184
382	27210	35085	37705
383	26690	38881	34429
384	26136	42412	31452
385	25617	45723	28660
386	25201	48776	26023
387	24696	51741	23563
388	24250	54463	21287
389	23744	57060	19196
390	23295	59446	17259
391	22875	61693	15432
392	22422	63664	13914
393	22006	65226	12768
394	21605	66266	12129
395	21147	66823	12030
396	20655	66737	12608
397	20246	65756	13998
398	19810	63884	16306
399	19341	61312	19347
400	18995	58267	22738
401	18697	54903	26400
402	18458	51420	30122
403	18260	47847	33893
404	18026	44499	37475
405	17855	41140	41005
406	17655	38046	44299
407	17511	35097	47392
408	17362	32360	50278
409	17254	29712	53034
410	17130	27263	55607
411	17006	24890	58104
412	16903	22720	60377
413	16819	20610	62571
414	16802	18551	64647
415	16765	16699	66536
416	16710	14983	68307
417	16667	13312	70021
418	16593	11781	71626
419	16552	10446	73002
420	16520	9204	74276
421	16470	8089	75441
422	16459	7111	76430
423	16412	6285	77303
424	16386	5587	78027
425	16386	4968	78646
426	16385	4350	79265
427	16420	3906	79674
428	16599	3472	79929
429	16889	3222	79889
430	17421	3145	79434
431	18148	3314	78538
432	19166	3750	77084
433	20458	4609	74933
434	22046	5975	71979
435	23700	7880	68420
436	25020	10491	64489
437	26062	13549	60389
438	26688	17009	56303
439	27078	20732	52190
440	27148	24530	48322
441	26940	28493	44567
442	26775	32157	41068
443	26419	35774	37807
444	26090	39145	34765
445	25709	42444	31847
446	25259	45590	29151
447	24956	48490	26554
448	24545	51286	24169
449	24212	53901	21887
450	23904	56359	19737
451	23479	58636	17885
452	23027	60660	16313
453	22668	62303	15029
454	22326	63577	14097
455	21830	64384	13786
456	21378	64552	14070
457	20937	64075	14988
458	20588	62699	16713
459	20152	60813	19035
460	19785	58323	21892
461	19466	55459	25075
462	19235	52412	28353
463	18919	49161	31920
464	18696	46125	35179
465	18445	43071	38484
466	18259	40191	41550
467	18110	37311	44579
468	17925	34597	47478
469	17775	32071	50154
470	17682	29583	52735
471	17580	27242	55178
472	17441	25014	57545
473	17336	22842	59822
474	17250	20760	61990
475	17166	18814	64020
476	17118	16989	65893
477	17065	15211	67724
478	17007	13575	69418
479	16986	12040	70974
480	16946	10753	72301
481	16915	9522	73563
482	16876	8496	74628
483	16843	7591	75566
484	16804	6781	76415
485	16789	6036	77175
486	16791	5377	77832
487	16881	4786	78333
488	17031	4373	78596
489	17328	4096	78576
490	17679	3996	78325
491	18297	4087	77616
492	19137	4520	76343
493	20176	5284	74540
494	21451	6481	72068
495	22751	8134	69115
496	23902	10357	65741
497	24872	13026	62102
498	25602	16046	58352
499	26214	19344	54442
500	26250	22914	50836
501	26233	26527	47240
502	26009	30082	43909
503	25888	33471	40641
504	25619	36847	37534
505	25232	40101	34667
506	24923	43167	31910
507	24568	46122	29310
508	24211	48939	26850
509	23914	51603	24483
510	23660	54031	22309
511	23409	56222	20369
512	23114	58142	18744
513	22817	59864	17319
514	22560	61129	16311
515	22139	62112	15749
516	21688	62462	15850
517	21372	62192	16436
518	20931	61294	17775
519	20490	59841	19669
520	20107	57907	21986
521	19773	55602	24625
522	19486	52889	27625
523	19282	50022	30696
524	19080	47120	33800
525	18896	44303	36801
526	18764	41452	39784
527	18577	38726	42697
528	18411	36095	45494
529	18255	33555	48190
530	18150	31075	50775
531	18024	28732	53244
532	17910	26510	55580
533	17805	24418	57777
534	17681	22422	59897
535	17624	20404	61972
536	17586	18549	63865
537	17532	16647	65821
538	17461	14980	67559
539	17406	13488	69106
540	17348	12079	70573
541	17316	10765	71919
542	17287	9601	73112
543	17250	8559	74191
544	17230	7633	75137
545	17217	6851	75932
546	17285	6168	76547
547	17360	5632	77008
548	17547	5213	77240
549	17754	4910	77336
550	18123	4808	77069
551	18652	4887	76461
552	19346	5285	75369
553	20148	6010	73842
554	21276	6991	71733
555	22335	8496	69169
556	23326	10401	66273
557	24151	12817	63032
558	24933	15567	59500
559	25378	18681	55941
560	25671	21872	52457
561	25749	25128	49123
562	25722	28473	45805
563	25674	31743	42583
564	25442	35012	39546
565	25212	38160	36628
566	24935	41234	33831
567	24699	44121	31180
568	24474	46842	28684
569	24135	49447	26418
570	23827	51862	24311
571	23549	54069	22382
572	23216	56036	20748
573	23065	57699	19236
574	22739	59069	18192
575	22324	60016	17660
576	21982	60588	17430
577	21640	60536	17824
578	21272	59961	18767
579	20939	58814	20247
580	20568	57254	22178
581	20254	55146	24600
582	19952	52839	27209
583	19657	50395	29948
584	19387	47787	32826
585	19188	45212	35600
586	18991	42546	38463
587	18799	39968	41233
588	18598	37412	43990
589	18478	34953	46569
590	18351	32633	49016
591	18218	30335	51447
592	18145	28104	53751
593	18026	25927	56047
594	17909	23856	58235
595	17807	21905	60288
596	17747	19972	62281
597	17692	18120	64188
598	17651	16410	65939
599	17571	14834	67595
600	17546	13327	69127
601	17514	11984	70502
602	17469	10732	71799
603	17417	9688	72895
604	17383	8737	73880
605	17410	7879	74711
606	17472	7128	75400
607	17604	6494	75902
608	17771	6028	76201
609	17946	5740	76314
610	18277	5606	76117
611	18767	5721	75512
612	19253	6089	74658
613	20000	6714	73286
614	20842	7704	71454
615	21831	9012	69157
616	22648	10828	66524
617	23423	13065	63512
618	24123	15496	60381
619	24562	18258	57180
620	24881	21243	53876
621	24961	24353	50686
622	25006	27552	47442
623	24982	30692	44326
624	25022	33681	41297
625	24805	36733	38462
626	24559	39666	35775
627	24373	42484	33143
628	24136	45198	30666
629	23936	47737	28327
630	23709	50098	26193
631	23426	52219	24355
632	23131	54215	22654
633	22977	55806	21217
634	22739	57102	20159
635	22450	58086	19464
636	22198	58605	19197
637	21896	58749	19355
638	21594	58308	20098
639	21292	57277	21431
640	20928	56034	23038
641	20621	54336	25043
642	20380	52288	27332
643	20070	50103	29827
644	19820	47732	32448
645	19641	45309	35050
646	19472	42962	37566
647	19304	40454	40242
648	19151	38041	42808
649	18985	35723	45292
650	18833	33407	47760
651	18694	31169	50137
652	18595	28970	52435
653	18459	26872	54669
654	18339	24764	56897
655	18199	22898	58903
656	18097	21052	60851
657	18056	19228	62716
658	17954	17571	64475
659	17889	15991	66120
660	17820	14506	67674
661	17796	13184	69020
662	17728	11937	70335
663	17686	10814	71500
664	17680	9828	72492
665	17683	8881	73436
666	17725	8123	74152
667	17881	7500	74619
668	18001	7077	74922
669	18232	6793	74975
670	18518	6722	74760
671	18850	6849	74301
672	19331	7206	73463
673	19887	7819	72294
674	20689	8734	70577
